,Name,Score,Original Price,Discount,Discounted Price,Platform,Win,Linux,Mac,Release Date
53,Grand Theft Auto V: Premium Online Edition,9,"39,98€",-60%,"15,98€                    ",1,0,0,
54,Thief,7,"19,99€",-85%,"2,99€                    ",1,0,1,"27 Feb, 2014"
55,Expansion - Hearts of Iron IV: Man the Guns,6,"19,99€",-50%,"9,99€                    ",1,1,1,"28 Feb, 2019"
56,CarX Drift Racing Online,9,"12,49€",-55%,"5,62€                    ",1,0,0,"17 Nov, 2017"
57,Haydee 2,9,"20,99€",-10%,"18,89€                    ",1,0,0,"23 Nov, 2020"
58,Borderlands 3,9,"59,99€",-67%,"19,79€                    ",1,0,0,"13 Mar, 2020"
59,Control Ultimate Edition,9,"39,99€",-50%,"19,99€                    ",1,0,0,"27 Aug, 2020"
60,F1® 2020,9,"54,99€",-50%,"27,49€                    ",1,0,0,"9 Jul, 2020"
61,Assetto Corsa,9,"19,99€",-80%,"3,99€                    ",1,0,0,"19 Dec, 2014"
62,Cities: Skylines,9,"27,99€",-75%,"6,99€                    ",1,1,1,"10 Mar, 2015"
63,theHunter: Call of the Wild™ - Silver Ridge Peaks,6,"7,99€",-25%,"5,99€                    ",1,0,0,"23 Jun, 2020"
64,Hell Let Loose,9,"29,99€",-25%,"22,49€                    ",1,0,0,"6 Jun, 2019"
65,Elite Dangerous,7,"24,99€",-75%,"6,24€                    ",1,0,0,"2 Apr, 2015"
66,American Truck Simulator,10,"19,99€",-75%,"4,99€                    ",1,1,1,"2 Feb, 2016"
67,Deep Rock Galactic,10,"29,99€",-30%,"20,99€                    ",1,0,0,"13 May, 2020"
68,Sleeping Dogs: Definitive Edition,9,"19,99€",-85%,"2,99€                    ",1,0,1,"14 Oct, 2014"
69,Expansion - Hearts of Iron IV: Waking the Tiger,7,"19,99€",-50%,"9,99€                    ",1,1,1,"8 Mar, 2018"
70,Mafia: Definitive Edition,9,"39,99€",-25%,"29,99€                    ",1,0,0,"24 Sep, 2020"
71,DARK SOULS™ III,9,"59,99€",-75%,"14,99€                    ",1,0,0,"11 Apr, 2016"
72,Sky Haven,,"22,99€",-15%,"19,54€                    ",1,1,1,"25 Nov, 2020"
73,Marvel's Avengers Deluxe Edition,6,"79,98€",-50%,"39,98€                    ",1,0,0,
74,Medieval Dynasty,9,"24,99€",-20%,"19,99€                    ",1,0,0,"17 Sep, 2020"
75,Stellaris,9,"39,99€",-75%,"9,99€                    ",1,1,1,"9 May, 2016"
76,Wreckfest,9,"29,99€",-50%,"14,99€                    ",1,0,0,"14 Jun, 2018"
77,Age of Empires III: Definitive Edition,6,"19,99€",-20%,"15,99€                    ",1,0,0,"15 Oct, 2020"
78,BELOW,7,"21,99€",-60%,"8,79€                    ",1,0,0,"14 Dec, 2018"
79,DiRT Rally 2.0,9,"19,99€",-75%,"4,99€                    ",1,0,0,"25 Feb, 2019"
80,Terraria,10,"9,99€",-50%,"4,99€                    ",1,1,1,"16 May, 2011"
81,theHunter: Call of the Wild™ - 2021 Edition,9,"83,87€",-65%,"29,13€                    ",1,0,0,
82,BONEWORKS,9,"24,99€",-20%,"19,99€                    ",1,0,0,"10 Dec, 2019"
83,ASTRONEER,9,"27,99€",-35%,"18,19€                    ",1,0,0,"5 Feb, 2019"
84,IL-2 Sturmovik: Battle of Stalingrad,7,"46,99€",-85%,"7,04€                    ",1,0,0,"22 Oct, 2014"
85,Left 4 Dead 2,10,"8,19€",-80%,"1,63€                    ",1,1,1,"16 Nov, 2009"
86,theHunter: Call of the Wild™ - Cuatro Colinas Game Reserve,6,"7,99€",-40%,"4,79€                    ",1,0,0,"10 Dec, 2019"
87,MORDHAU,9,"24,99€",-25%,"18,74€                    ",1,0,0,"29 Apr, 2019"
88,3DMark,9,"24,99€",-85%,"3,74€                    ",1,0,0,"12 Feb, 2013"
89,STAR WARS™: Squadrons,7,"39,99€",-40%,"23,99€                    ",1,0,0,"1 Oct, 2020"
90,Sid Meier's Civilization V: Complete,10,"136,84€",-78%,"30,31€                    ",1,1,1,
91,RimWorld,10,"29,99€",-10%,"26,99€                    ",1,1,1,"17 Oct, 2018"
92,theHunter: Call of the Wild™ - Tents & Ground Blinds,6,"3,99€",-50%,"1,99€                    ",1,0,0,"27 Apr, 2017"
93,theHunter: Call of the Wild™ - Smoking Barrels Weapon Pack,9,"3,99€",-40%,"2,39€                    ",1,0,0,"26 Mar, 2020"
94,Wasteland 3,9,"59,99€",-30%,"41,99€                    ",1,0,0,"28 Aug, 2020"
95,theHunter: Call of the Wild™ - Weapon Pack 1,9,"3,99€",-50%,"1,99€                    ",1,0,0,"12 Apr, 2018"
96,Bloons TD 6,10,"8,19€",-90%,"0,81€                    ",1,0,1,"17 Dec, 2018"
97,Expansion - Hearts of Iron IV: La Résistance,6,"19,99€",-33%,"13,39€                    ",1,1,1,"25 Feb, 2020"
98,theHunter: Call of the Wild™ - Weapon Pack 2,9,"3,99€",-50%,"1,99€                    ",1,0,0,"28 Feb, 2019"
99,Expansion - Hearts of Iron IV: Together for Victory,6,"14,99€",-50%,"7,49€                    ",1,1,1,"15 Dec, 2016"
,Name,Score,Original Price,Discount,Discounted Price,Win,Linux,Mac,Release Date
0,Counter-Strike: Global Offensive,9,Free to Play,,Free to Play,1,1,1,"21 Aug, 2012"
1,theHunter: Call of the Wild™,9,"19,99€",-70%,"5,99€                    ",1,0,0,"16 Feb, 2017"
2,Hearts of Iron IV,9,"39,99€",-75%,"9,99€                    ",1,1,1,"6 Jun, 2016"
3,Crusader Kings III,9,"49,99€",-20%,"39,99€                    ",1,1,1,"1 Sep, 2020"
4,Black Desert Online,7,"9,99€",-70%,"2,99€                    ",1,0,0,"24 May, 2017"
5,Titanfall® 2,10,"29,99€",-67%,"9,89€                    ",1,0,0,"18 Jun, 2020"
6,Among Us,10,"3,99€",-20%,"3,19€                    ",1,0,0,"16 Nov, 2018"
7,We Happy Few,7,"59,99€",-85%,"8,99€                    ",1,0,0,"10 Aug, 2018"
8,Grand Theft Auto V,9,"29,99€",-50%,"14,99€                    ",1,0,0,"13 Apr, 2015"
9,Total War: WARHAMMER II,9,"59,99€",-66%,"20,39€                    ",1,1,1,"28 Sep, 2017"
10,Dota 2,9,Free to Play,,Free to Play,1,1,1,"9 Jul, 2013"
